,ST_NUM,ST_NAME,ST_NAME_SUF,ZIPCODE,PTYPE,LU,OWN_OCC,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_BTH_STYLE2,R_BTH_STYLE3,R_KITCH,R_KITCH_STYLE,R_KITCH_STYLE2,R_KITCH_STYLE3,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW,ST_ADDRESS,SALE_PRICE
424,18,SYLVESTER,RD,2122,104,R2,N,144000,419200,563200,590234,4727.0,1880.0,0.0,3384,2070,2.0,R,TF,G,M,10,4,2,0,M,M,,2,M,M,,W,N,0,G,G,G,N,A,18 sylvester rd,564599
425,18,TELEGRAPH,ST,2127,101,R1,N,145200,281300,426500,446972,1386.0,1872.0,0.0,1515,1065,2.0,R,SD,G,W,5,4,1,1,N,N,,1,N,,,W,N,0,A,A,A,N,A,18 telegraph st,525000
426,18,WINSHIP,ST,2135,104,R2,Y,169500,617000,786500,824252,4640.0,1910.0,2004.0,4592,2508,2.5,R,CV,G,M,12,6,2,0,M,M,,2,M,M,,W,C,0,G,G,G,N,A,18 winship st,950000
427,180,ENDICOTT,ST,2113,105,R3,Y,365900,661500,1027400,1076716,650.0,1910.0,0.0,3200,2560,4.0,R,RE,F,B,9,4,3,0,N,N,N,3,N,N,M,W,N,0,A,A,A,N,A,180 endicott st,1350000
428,180,POND,ST,2130,101,R1,Y,553500,1404700,1958200,2052194,23274.0,1900.0,2012.0,11069,6393,2.0,R,CL,H,F,12,6,4,1,M,M,M,1,M,,,W,C,9,A,A,A,N,G,180 pond st,1750000
429,181,BENNINGTON,ST,2128,104,R2,Y,131100,260500,391600,410397,1911.0,1900.0,0.0,3129,1914,1.5,R,CV,G,W,8,4,2,0,S,S,,2,S,S,,E,N,0,A,A,A,N,A,181 bennington st,439000
430,181,COWPER,ST,2128,104,R2,Y,199100,345800,544900,571056,7100.0,1910.0,0.0,4850,2508,2.0,R,TF,H,W,10,4,2,0,S,S,,2,S,S,,W,N,0,A,A,A,N,A,181 cowper st,1200000
431,181,GLENWAY,ST,2121,101,R1,N,132200,212800,345000,361560,5537.0,1890.0,0.0,4234,2684,2.5,R,CL,L,M,10,5,1,0,S,,,1,S,,,W,N,1,A,A,G,N,A,181 glenway st,370000
432,181,M,ST,2127,105,R3,N,170900,1364400,1535300,1608994,2700.0,1900.0,0.0,6782,4417,3.0,R,DK,F,W,18,9,3,0,M,M,M,3,M,M,M,F,C,0,A,G,G,N,A,181 m st,2300000
433,182,E,ST,2127,101,R1,N,143300,335100,478400,501363,891.0,1905.0,1984.0,1824,1120,2.0,R,SD,F,M,7,4,1,0,S,,,1,M,,,F,N,0,A,A,A,N,A,182 e st,687000
434,182,WEST,ST,2136,101,R1,Y,107300,194200,301500,315972,6003.0,1954.0,0.0,1928,864,1.0,R,RN,G,M,5,3,2,0,M,M,,1,M,,,W,N,0,G,A,G,N,A,182 west st,364000
435,1821,RIVER,ST,2136,101,R1,N,129800,178600,308400,323203,9471.0,1950.0,0.0,1894,884,1.0,R,CP,G,W,5,2,1,0,S,,,1,N,,,W,N,0,A,A,G,N,A,1821 river st,363600
436,184,BELLEVUE,ST,2132,101,R1,Y,221800,507500,729300,764307,7125.0,1912.0,2016.0,4784,2656,2.0,R,CL,H,F,9,5,2,1,M,S,S,1,M,,,W,C,1,A,G,G,N,A,184 bellevue st,782500
437,184,COWPER,ST,2128,104,R2,Y,147400,355000,502400,526516,5000.0,1910.0,2012.0,2997,1838,2.0,R,TF,F,M,12,6,3,0,M,S,S,2,S,S,,W,N,0,G,A,A,N,F,184 cowper st,1250000
438,184,WESTVILLE,ST,2122,104,R2,Y,140000,279000,419000,439112,5840.0,2007.0,,5068,2941,2.0,R,CV,G,F,13,6,2,1,M,M,M,2,M,M,,F,N,0,G,G,G,N,A,184 westville st,399000
